Training started
Epoch 1/30: Train Loss: 1.9690, Train Acc: 22.14% | Val Loss: 2.3266, Val Acc: 14.35% | LR: 0.001000
Epoch 2/30: Train Loss: 1.7740, Train Acc: 33.66% | Val Loss: 1.9293, Val Acc: 21.30% | LR: 0.001000
Epoch 3/30: Train Loss: 1.5942, Train Acc: 42.90% | Val Loss: 1.7238, Val Acc: 36.57% | LR: 0.001000
Epoch 4/30: Train Loss: 1.5235, Train Acc: 44.49% | Val Loss: 1.7931, Val Acc: 34.26% | LR: 0.001000
Epoch 5/30: Train Loss: 1.4078, Train Acc: 48.86% | Val Loss: 1.6559, Val Acc: 44.91% | LR: 0.000500
Epoch 6/30: Train Loss: 1.3135, Train Acc: 52.04% | Val Loss: 1.4375, Val Acc: 46.76% | LR: 0.000500
Epoch 7/30: Train Loss: 1.3102, Train Acc: 51.04% | Val Loss: 1.4060, Val Acc: 48.15% | LR: 0.000500
Epoch 8/30: Train Loss: 1.2425, Train Acc: 55.61% | Val Loss: 1.6624, Val Acc: 43.98% | LR: 0.000500
Epoch 9/30: Train Loss: 1.2193, Train Acc: 56.41% | Val Loss: 1.2281, Val Acc: 56.02% | LR: 0.000500
Epoch 10/30: Train Loss: 1.1478, Train Acc: 58.09% | Val Loss: 1.2849, Val Acc: 51.85% | LR: 0.000250
Epoch 11/30: Train Loss: 1.0862, Train Acc: 61.27% | Val Loss: 1.1468, Val Acc: 62.04% | LR: 0.000250
Epoch 12/30: Train Loss: 1.0247, Train Acc: 64.55% | Val Loss: 1.1937, Val Acc: 51.85% | LR: 0.000250
Epoch 13/30: Train Loss: 1.0054, Train Acc: 66.93% | Val Loss: 1.1007, Val Acc: 59.72% | LR: 0.000250
Epoch 14/30: Train Loss: 0.9769, Train Acc: 67.43% | Val Loss: 1.3808, Val Acc: 45.37% | LR: 0.000250
Epoch 15/30: Train Loss: 0.9549, Train Acc: 67.92% | Val Loss: 1.6515, Val Acc: 39.81% | LR: 0.000125
Epoch 16/30: Train Loss: 0.9224, Train Acc: 68.72% | Val Loss: 1.1211, Val Acc: 59.26% | LR: 0.000125
Epoch 17/30: Train Loss: 0.8763, Train Acc: 70.80% | Val Loss: 1.0394, Val Acc: 62.04% | LR: 0.000125
Epoch 18/30: Train Loss: 0.8941, Train Acc: 69.41% | Val Loss: 1.0599, Val Acc: 63.43% | LR: 0.000125
Epoch 19/30: Train Loss: 0.8757, Train Acc: 71.20% | Val Loss: 1.1213, Val Acc: 55.56% | LR: 0.000125
Epoch 20/30: Train Loss: 0.8394, Train Acc: 72.49% | Val Loss: 1.1412, Val Acc: 58.80% | LR: 0.000063
Epoch 21/30: Train Loss: 0.8197, Train Acc: 74.28% | Val Loss: 0.9883, Val Acc: 65.74% | LR: 0.000063
Epoch 22/30: Train Loss: 0.8011, Train Acc: 75.07% | Val Loss: 0.9887, Val Acc: 65.74% | LR: 0.000063
Epoch 23/30: Train Loss: 0.7869, Train Acc: 76.76% | Val Loss: 0.9808, Val Acc: 66.67% | LR: 0.000063
Epoch 24/30: Train Loss: 0.7820, Train Acc: 76.27% | Val Loss: 1.1192, Val Acc: 59.72% | LR: 0.000063
Epoch 25/30: Train Loss: 0.7759, Train Acc: 76.66% | Val Loss: 1.1399, Val Acc: 59.26% | LR: 0.000031
Epoch 26/30: Train Loss: 0.7795, Train Acc: 76.37% | Val Loss: 0.9732, Val Acc: 67.13% | LR: 0.000031
Epoch 27/30: Train Loss: 0.7731, Train Acc: 75.27% | Val Loss: 0.9858, Val Acc: 65.74% | LR: 0.000031
Epoch 28/30: Train Loss: 0.7740, Train Acc: 77.06% | Val Loss: 0.9678, Val Acc: 68.98% | LR: 0.000031
Epoch 29/30: Train Loss: 0.7585, Train Acc: 77.16% | Val Loss: 0.9651, Val Acc: 66.20% | LR: 0.000031
Epoch 30/30: Train Loss: 0.7474, Train Acc: 78.35% | Val Loss: 0.9582, Val Acc: 67.13% | LR: 0.000016
