Training started
Epoch 1/30: Train Acc: 22.14% | Val Acc: 14.35% | LR: 0.001000
Epoch 2/30: Train Acc: 33.66% | Val Acc: 21.30% | LR: 0.001000
Epoch 3/30: Train Acc: 42.90% | Val Acc: 36.57% | LR: 0.001000
Epoch 4/30: Train Acc: 44.49% | Val Acc: 34.26% | LR: 0.001000
Epoch 5/30: Train Acc: 48.86% | Val Acc: 44.91% | LR: 0.000500
Epoch 6/30: Train Acc: 52.04% | Val Acc: 46.76% | LR: 0.000500
Epoch 7/30: Train Acc: 51.04% | Val Acc: 48.15% | LR: 0.000500
Epoch 8/30: Train Acc: 55.61% | Val Acc: 43.98% | LR: 0.000500
Epoch 9/30: Train Acc: 56.41% | Val Acc: 56.02% | LR: 0.000500
Epoch 10/30: Train Acc: 58.09% | Val Acc: 51.85% | LR: 0.000250
Epoch 11/30: Train Acc: 61.27% | Val Acc: 62.04% | LR: 0.000250
Epoch 12/30: Train Acc: 64.55% | Val Acc: 51.85% | LR: 0.000250
Epoch 13/30: Train Acc: 66.93% | Val Acc: 59.72% | LR: 0.000250
Epoch 14/30: Train Acc: 67.43% | Val Acc: 45.37% | LR: 0.000250
Epoch 15/30: Train Acc: 67.92% | Val Acc: 39.81% | LR: 0.000125
Epoch 16/30: Train Acc: 68.72% | Val Acc: 59.26% | LR: 0.000125
Epoch 17/30: Train Acc: 70.80% | Val Acc: 62.04% | LR: 0.000125
Epoch 18/30: Train Acc: 69.41% | Val Acc: 63.43% | LR: 0.000125
Epoch 19/30: Train Acc: 71.20% | Val Acc: 55.56% | LR: 0.000125
Epoch 20/30: Train Acc: 72.49% | Val Acc: 58.80% | LR: 0.000063
Epoch 21/30: Train Acc: 74.28% | Val Acc: 65.74% | LR: 0.000063
Epoch 22/30: Train Acc: 75.07% | Val Acc: 65.74% | LR: 0.000063
Epoch 23/30: Train Acc: 76.76% | Val Acc: 66.67% | LR: 0.000063
Epoch 24/30: Train Acc: 76.27% | Val Acc: 59.72% | LR: 0.000063
Epoch 25/30: Train Acc: 76.66% | Val Acc: 59.26% | LR: 0.000031
Epoch 26/30: Train Acc: 76.37% | Val Acc: 67.13% | LR: 0.000031
Epoch 27/30: Train Acc: 75.27% | Val Acc: 65.74% | LR: 0.000031
Epoch 28/30: Train Acc: 77.06% | Val Acc: 68.98% | LR: 0.000031
Epoch 29/30: Train Acc: 77.16% | Val Acc: 66.20% | LR: 0.000031
Epoch 30/30: Train Acc: 78.35% | Val Acc: 67.13% | LR: 0.000016
