emotion,transcript
neutral,Kids are talking by the door.
neutral,Kids are talking by the door.
neutral,Dogs are sitting by the door.
neutral,Dogs are sitting by the door.
calm,Kids are talking by the door.
calm,Kids are talking by the door.
calm,Dogs are sitting by the door.
calm,Dogs are sitting by the door.
calm,Kids are talking by the door.
calm,Kids are talking by the door.
calm,Dogs are sitting by the door.
calm,Dogs are sitting by the door.
happy,Kids are talking by the door.
happy,Kids are talking by the door.
happy,Dogs are sitting by the door.
happy,Dogs are sitting by the door.
happy,Kids are talking by the door.
happy,Kids are talking by the door.
happy,Dogs are sitting by the door.
happy,Dogs are sitting by the door.
sad,Kids are talking by the door.
sad,Kids are talking by the door.
sad,Dogs are sitting by the door.
sad,Dogs are sitting by the door.
sad,Kids are talking by the door.
sad,Kids are talking by the door.
sad,Dogs are sitting by the door.
sad,Dogs are sitting by the door.
angry,Kids are talking by the door.
angry,Kids are talking by the door.
angry,Dogs are sitting by the door.
angry,Dogs are sitting by the door.
angry,Kids are talking by the door!
angry,Kids are talking by the door.
angry,Dogs are sitting by the door.
angry,Dogs are sitting by the door!
fearful,Kids are talking by the door.
fearful,Kids are talking by the door.
fearful,Dogs are sitting by the door.
fearful,Dogs are sitting by the door.
fearful,Kids are talking by the door.
fearful,Kids are talking by the door.
fearful,Dogs are sitting by the door.
fearful,Dogs are sitting by the door.
disgust,Kids are talking by the door.
disgust,Kids are talking by the door.
disgust,Dogs are sitting by the door.
disgust,Dogs are sitting by the door.
disgust,Kids are talking by the door!
disgust,Kids are talking by the door.
disgust,Oh dogs are sitting by the door.
disgust,Dogs are sitting by the door.
surprised,Kids are talking by the door.
surprised,Kids are talking by the door.
surprised,Dogs are sitting by the door.
surprised,Dogs are sitting by the door.
surprised,Kids are talking by the door.
surprised,Kids are talking by the door.
surprised,Dogs are sitting by the door.
surprised,Dogs are sitting by the door.
neutral,Kids are talking by the door.
neutral,Kids are talking by the door.
neutral,Dogs are sitting by the door.
neutral,Dogs are sitting by the door.
calm,Kids are talking by the door.
calm,Kids are talking by the door.
calm,Dogs are sitting by the door.
calm,Dogs are sitting by the door.
calm,Kids are talking by the door.
calm,Kids are talking by the door.
calm,Dogs are sitting by the door.
calm,Dogs are sitting by the door.
happy,Kids are talking by the door.
happy,Kids are talking by the door.
happy,Dogs are sitting by the door.
happy,Dogs are sitting by the door.
happy,Kids are talking by the door.
happy,Kids are talking by the door.
happy,Dogs are sitting by the door.
happy,Dogs are sitting by the door.
sad,Kids are talking by the door.
sad,Kids are talking by the door.
sad,Dogs are sitting by the door.
sad,Dogs are sitting by the door.
sad,Kids are talking by the door.
sad,Kids are talking by the door.
sad,Dogs are sitting by the door.
sad,Dogs are sitting by the door.
angry,Kids are talking by the door.
angry,Kids are talking by the door.
angry,Dogs are sitting by the door.
angry,Dogs are sitting by the door.
angry,Kids are talking by the door.
angry,Kids are talking by the door.
angry,Dogs are sitting by the door!
angry,Dogs are sitting by the door.
fearful,Kids are talking by the door.
fearful,Kids are talking by the door.
fearful,Dogs are sitting by the door.
fearful,Dogs are sitting by the door.
